,G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak,GameType
0,1,"Wed, Oct 23, 2019",10/23/2019,Oklahoma City Thunder,W,100,95,1,0,W 1,regular season
1,2,"Fri, Oct 25, 2019",10/25/2019,Los Angeles Lakers,L,86,95,1,1,L 1,regular season
2,3,"Sat, Oct 26, 2019",10/26/2019,Sacramento Kings,W,113,81,2,1,W 1,regular season
3,4,"Mon, Oct 28, 2019",10/28/2019,Phoenix Suns,W,96,95,3,1,W 2,regular season
4,5,"Wed, Oct 30, 2019",10/30/2019,Los Angeles Clippers,W,110,96,4,1,W 3,regular season
5,6,"Fri, Nov 1, 2019",11/01/2019,Sacramento Kings,L,101,102,4,2,L 1,regular season
6,7,"Sun, Nov 3, 2019",11/03/2019,Los Angeles Clippers,L,94,105,4,3,L 2,regular season
7,8,"Wed, Nov 6, 2019",11/06/2019,Philadelphia 76ers,W,106,104,5,3,W 1,regular season
8,9,"Fri, Nov 8, 2019",11/08/2019,Milwaukee Bucks,W,103,100,6,3,W 2,regular season
9,10,"Mon, Nov 11, 2019",11/11/2019,Golden State Warriors,W,122,108,7,3,W 3,regular season
10,11,"Tue, Nov 12, 2019",11/12/2019,Brooklyn Nets,W,119,114,8,3,W 4,regular season
11,12,"Fri, Nov 15, 2019",11/15/2019,Memphis Grizzlies,L,106,107,8,4,L 1,regular season
12,13,"Mon, Nov 18, 2019",11/18/2019,Minnesota Timberwolves,L,102,112,8,5,L 2,regular season
13,14,"Wed, Nov 20, 2019",11/20/2019,Minnesota Timberwolves,W,103,95,9,5,W 1,regular season
14,15,"Fri, Nov 22, 2019",11/22/2019,Golden State Warriors,W,113,109,10,5,W 2,regular season
15,16,"Sat, Nov 23, 2019",11/23/2019,New Orleans Pelicans,W,128,120,11,5,W 3,regular season
16,17,"Mon, Nov 25, 2019",11/25/2019,Milwaukee Bucks,L,118,122,11,6,L 1,regular season
17,18,"Wed, Nov 27, 2019",11/27/2019,Indiana Pacers,L,102,121,11,7,L 2,regular season
18,19,"Fri, Nov 29, 2019",11/29/2019,Memphis Grizzlies,W,103,94,12,7,W 1,regular season
19,20,"Sun, Dec 1, 2019",12/01/2019,Toronto Raptors,L,110,130,12,8,L 1,regular season
20,21,"Mon, Dec 2, 2019",12/02/2019,Philadelphia 76ers,L,94,103,12,9,L 2,regular season
21,22,"Wed, Dec 4, 2019",12/04/2019,Los Angeles Lakers,L,96,121,12,10,L 3,regular season
22,23,"Sat, Dec 7, 2019",12/07/2019,Memphis Grizzlies,W,126,112,13,10,W 1,regular season
23,24,"Mon, Dec 9, 2019",12/09/2019,Oklahoma City Thunder,L,90,104,13,11,L 1,regular season
24,25,"Wed, Dec 11, 2019",12/11/2019,Minnesota Timberwolves,W,127,116,14,11,W 1,regular season
25,26,"Fri, Dec 13, 2019",12/13/2019,Golden State Warriors,W,114,106,15,11,W 2,regular season
26,27,"Tue, Dec 17, 2019",12/17/2019,Orlando Magic,W,109,102,16,11,W 3,regular season
27,28,"Thu, Dec 19, 2019",12/19/2019,Atlanta Hawks,W,111,106,17,11,W 4,regular season
28,29,"Sat, Dec 21, 2019",12/21/2019,Charlotte Hornets,W,114,107,18,11,W 5,regular season
29,30,"Mon, Dec 23, 2019",12/23/2019,Miami Heat,L,104,107,18,12,L 1,regular season
30,31,"Thu, Dec 26, 2019",12/26/2019,Portland Trail Blazers,W,121,115,19,12,W 1,regular season
31,32,"Sat, Dec 28, 2019",12/28/2019,Los Angeles Clippers,W,120,107,20,12,W 2,regular season
32,33,"Mon, Dec 30, 2019",12/30/2019,Detroit Pistons,W,104,81,21,12,W 3,regular season
33,34,"Thu, Jan 2, 2020",01/02/2020,Chicago Bulls,W,102,98,22,12,W 4,regular season
34,35,"Sat, Jan 4, 2020",01/04/2020,Orlando Magic,W,109,96,23,12,W 5,regular season
35,36,"Mon, Jan 6, 2020",01/06/2020,New Orleans Pelicans,W,128,126,24,12,W 6,regular season
36,37,"Wed, Jan 8, 2020",01/08/2020,New York Knicks,W,128,104,25,12,W 7,regular season
37,38,"Fri, Jan 10, 2020",01/10/2020,Charlotte Hornets,W,109,92,26,12,W 8,regular season
38,39,"Sun, Jan 12, 2020",01/12/2020,Washington Wizards,W,127,116,27,12,W 9,regular season
39,40,"Tue, Jan 14, 2020",01/14/2020,Brooklyn Nets,W,118,107,28,12,W 10,regular season
40,41,"Thu, Jan 16, 2020",01/16/2020,New Orleans Pelicans,L,132,138,28,13,L 1,regular season
41,42,"Sat, Jan 18, 2020",01/18/2020,Sacramento Kings,W,123,101,29,13,W 1,regular season
42,43,"Mon, Jan 20, 2020",01/20/2020,Indiana Pacers,W,118,88,30,13,W 2,regular season
43,44,"Wed, Jan 22, 2020",01/22/2020,Golden State Warriors,W,129,96,31,13,W 3,regular season
44,45,"Sat, Jan 25, 2020",01/25/2020,Dallas Mavericks,W,112,107,32,13,W 4,regular season
45,46,"Mon, Jan 27, 2020",01/27/2020,Houston Rockets,L,117,126,32,14,L 1,regular season
46,47,"Wed, Jan 29, 2020",01/29/2020,San Antonio Spurs,L,120,127,32,15,L 2,regular season
47,48,"Thu, Jan 30, 2020",01/30/2020,Denver Nuggets,L,100,106,32,16,L 3,regular season
48,49,"Sat, Feb 1, 2020",02/01/2020,Portland Trail Blazers,L,107,124,32,17,L 4,regular season
49,50,"Wed, Feb 5, 2020",02/05/2020,Denver Nuggets,L,95,98,32,18,L 5,regular season
50,51,"Fri, Feb 7, 2020",02/07/2020,Portland Trail Blazers,W,117,114,33,18,W 1,regular season
51,52,"Sun, Feb 9, 2020",02/09/2020,Houston Rockets,W,114,113,34,18,W 2,regular season
52,53,"Mon, Feb 10, 2020",02/10/2020,Dallas Mavericks,W,123,119,35,18,W 3,regular season
53,54,"Wed, Feb 12, 2020",02/12/2020,Miami Heat,W,116,101,36,18,W 4,regular season
54,55,"Fri, Feb 21, 2020",02/21/2020,San Antonio Spurs,L,104,113,36,19,L 1,regular season
55,56,"Sat, Feb 22, 2020",02/22/2020,Houston Rockets,L,110,120,36,20,L 2,regular season
56,57,"Mon, Feb 24, 2020",02/24/2020,Phoenix Suns,L,111,131,36,21,L 3,regular season
57,58,"Wed, Feb 26, 2020",02/26/2020,Boston Celtics,L,103,114,36,22,L 4,regular season
58,59,"Fri, Feb 28, 2020",02/28/2020,Washington Wizards,W,129,119,37,22,W 1,regular season
