,team,Abbr,link
0,Atlanta Hawks,ATL,https://www.basketball-reference.com/teams/ATL/
1,Boston Celtics,BOS,https://www.basketball-reference.com/teams/BOS/
2,Brooklyn Nets,NJN,https://www.basketball-reference.com/teams/NJN/
3,Charlotte Hornets,CHA,https://www.basketball-reference.com/teams/CHA/
4,Chicago Bulls,CHI,https://www.basketball-reference.com/teams/CHI/
5,Cleveland Cavaliers,CLE,https://www.basketball-reference.com/teams/CLE/
6,Dallas Mavericks,DAL,https://www.basketball-reference.com/teams/DAL/
7,Denver Nuggets,DEN,https://www.basketball-reference.com/teams/DEN/
8,Detroit Pistons,DET,https://www.basketball-reference.com/teams/DET/
9,Golden State Warriors,GSW,https://www.basketball-reference.com/teams/GSW/
10,Houston Rockets,HOU,https://www.basketball-reference.com/teams/HOU/
11,Indiana Pacers,IND,https://www.basketball-reference.com/teams/IND/
12,Los Angeles Clippers,LAC,https://www.basketball-reference.com/teams/LAC/
13,Los Angeles Lakers,LAL,https://www.basketball-reference.com/teams/LAL/
14,Memphis Grizzlies,MEM,https://www.basketball-reference.com/teams/MEM/
15,Miami Heat,MIA,https://www.basketball-reference.com/teams/MIA/
16,Milwaukee Bucks,MIL,https://www.basketball-reference.com/teams/MIL/
17,Minnesota Timberwolves,MIN,https://www.basketball-reference.com/teams/MIN/
18,New Orleans Pelicans,NOH,https://www.basketball-reference.com/teams/NOH/
19,New York Knicks,NYK,https://www.basketball-reference.com/teams/NYK/
20,Oklahoma City Thunder,OKC,https://www.basketball-reference.com/teams/OKC/
21,Orlando Magic,ORL,https://www.basketball-reference.com/teams/ORL/
22,Philadelphia 76ers,PHI,https://www.basketball-reference.com/teams/PHI/
23,Phoenix Suns,PHO,https://www.basketball-reference.com/teams/PHO/
24,Portland Trail Blazers,POR,https://www.basketball-reference.com/teams/POR/
25,Sacramento Kings,SAC,https://www.basketball-reference.com/teams/SAC/
26,San Antonio Spurs,SAS,https://www.basketball-reference.com/teams/SAS/
27,Toronto Raptors,TOR,https://www.basketball-reference.com/teams/TOR/
28,Utah Jazz,UTA,https://www.basketball-reference.com/teams/UTA/
29,Washington Wizards,WAS,https://www.basketball-reference.com/teams/WAS/
